n,ev,evr,evr_cum,loss
1,7.218100238724815,0.11639051881399617,0.11639051881399617,58.22000722545678
2,6.521498066256653,0.10515793883047826,0.22154845764447445,55.75147790100947
3,4.729591968920478,0.07626378753897917,0.2978122451834536,53.67778718232973
4,3.5423428460221342,0.05711961707785899,0.3549318622613126,52.05110791350519
5,3.081418659125767,0.0496873006133449,0.40461916287465755,51.35017059269075
6,2.8825783770093776,0.0464810381853883,0.45110020106004584,49.00670879767504
7,2.3904670766865563,0.038545835339144324,0.48964603639919013,48.30412725763612
8,2.0955595333112695,0.0337905062580294,0.5234365426572195,45.658837511755266
9,1.768101911467904,0.028510313238338126,0.5519468558955576,43.138184559754414
10,1.6315945756344057,0.026309157932356372,0.5782560138279139,42.30856868749355
11,1.552635429230054,0.025035956437341342,0.6032919702652553,40.76264589032735
12,1.4937789886480202,0.024086907320769603,0.6273788775860248,38.86639471167141
13,1.4132423267789056,0.02278826868338908,0.650167146269414,38.10873782688078
14,1.2983571358390331,0.02093576642721384,0.6711029126966278,35.10641380405159
15,1.212916933205761,0.019558059110445357,0.6906609718070732,32.29858436584598
16,1.1726721398166589,0.01890911933028137,0.7095700911373546,32.021099861649674
17,1.1431981011891714,0.018433855959873666,0.7280039470972283,21.055821600937712
18,1.1168679038764138,0.018009286443747333,0.7460132335409756,16.907012619779362
19,1.0060003202054708,0.016221567354742988,0.7622348008957186,14.086621215971995
20,0.9706370458876801,0.015651341158281012,0.7778861420539996,13.39347989142384
21,0.8838763410006936,0.014252340989193812,0.7921384830431935,13.203693088353551
22,0.8547907567382345,0.01378334137290227,0.8059218244160957,9.635815666268423
23,0.7991932539733592,0.012886842020226389,0.8188086664363221,7.8547932207333915
24,0.7000510970408291,0.011288193248378027,0.8300968596847002,7.424125463771744
25,0.6583172035271474,0.010615242006702887,0.8407121016914031,7.236493421374496
26,0.62798945909602,0.01012621278958844,0.8508383144809916,7.052065501366501
27,0.6032338531807788,0.009727033265789145,0.8605653477467807,6.598547679722949
28,0.5764235034928775,0.00929472138225249,0.8698600691290332,5.8665166435017575
29,0.5354014158803757,0.008633247877847987,0.8784933170068813,5.587676899467033
30,0.5112334978553823,0.008243544711564436,0.8867368617184457,4.712502581671688
31,0.488517385782807,0.007877251645228327,0.894614113363674,4.457376390031146
32,0.4419636079427333,0.007126580668606514,0.9017406940322805,4.248872144352647
33,0.4313211055776039,0.006954972304800329,0.9086956663370809,3.3914676739201393
34,0.3903289698014496,0.006293981768165269,0.9149896481052462,3.051174891193163
35,0.37690473449235073,0.006077518479954795,0.9210671665852009,2.779253956496888
36,0.36773206221035476,0.00592961085183894,0.9269967774370399,2.2880974481086302
37,0.33107781004854453,0.005338567878652713,0.9323353453156926,2.1550440115908804
38,0.3029487763061935,0.004884992460921047,0.9372203377766136,2.0093029197470815
39,0.27990298537654956,0.004513383384561917,0.9417337211611755,1.810003457002218
40,0.27669008501335923,0.004461575966016637,0.9461952971271921,1.7116133888418703
41,0.27008665546323907,0.004355096897304516,0.9505503940244966,1.5626280551288652
42,0.2492223984437654,0.004018664647979849,0.9545690586724764,1.452394053813299
43,0.23919741875349237,0.003857013722021417,0.9584260723944978,1.2557961216308198
44,0.21417315425621214,0.003453502128742177,0.96187957452324,1.171875520571887
45,0.2061763750001379,0.003324555556143746,0.9652041300793838,1.1001796679796607
46,0.19211294285372477,0.003097785338262201,0.968301915417646,0.961234203515781
47,0.19053036385782127,0.003072266547402366,0.9713741819650483,0.8817051242207755
48,0.1723314085665219,0.002778811790863648,0.974152993755912,0.7938965246705264
49,0.16538815379025856,0.002666853103821389,0.9768198468597334,0.7452115376163988
50,0.15935597872430698,0.002569585407019912,0.9793894322667533,0.6777709538889536
51,0.15058460717914537,0.0024281486783673265,0.9818175809451207,0.5935583437078592
52,0.1462930470427158,0.00235894807235181,0.9841765290174725,0.5571120424501063
53,0.1353998316452433,0.002183297007704303,0.9863598260251768,0.4433136659880813
54,0.12882729348072108,0.002077316056817886,0.9884371420819947,0.3953946260974379
55,0.11964113560892571,0.0019291909760841186,0.9903663330580789,0.34770940690995306
56,0.11204460021480091,0.0018066982610387438,0.9921730313191176,0.28501118160635863
57,0.10124165734064151,0.0016325028239768298,0.9938055341430945,0.24341703750238672
58,0.09531431891046187,0.0015369255983553932,0.9953424597414499,0.2069421652429585
59,0.08809698451308969,0.0014205474285902346,0.9967630071700401,0.15750399832133266
60,0.07675498309317555,0.0012376597731139922,0.998000666943154,0.08516106763410962
61,0.06608557385719471,0.0010656175410385287,0.9990662844841925,0.05318756341111877
62,0.057905508594927234,0.0009337155158075991,1.0000000000000002,8.700370211364711e-29
63,2.325098674145027e-31,3.749178205168335e-33,1.0000000000000002,8.742261693406103e-29
64,3.271632379091536e-32,5.275446133710165e-34,1.0000000000000002,8.741897803104706e-29
