n,recon_error,pairwise_dc
1,59.85051560517761,0.24217466389683104
2,58.73919984721704,0.3014223112886272
3,57.2207469317177,0.346108080851971
4,54.970648412301784,0.43592823095179706
5,56.98920688126505,0.41535278927586033
6,54.85946152958608,0.4853940667352976
7,54.4318563040968,0.5305815781951824
8,53.41103482194687,0.5656618416018533
9,53.47985597972915,0.581949339944335
10,51.43545645674777,0.6232787467065892
11,50.453122897075566,0.6256272933513647
12,49.17202809271643,0.6356289413010325
13,49.19698281898504,0.6537446342254054
14,46.023511920034764,0.6847159926321934
15,48.2626367632595,0.6701055161234823
16,46.461779035416285,0.6973165510111368
17,45.163586978511056,0.7200258784185805
18,44.623762225851706,0.7143462949019169
19,41.83693369275062,0.7174320842723316
20,40.881000236512854,0.7144300940764319
21,40.18405575585532,0.7478933997766707
22,39.006204330888515,0.7520239242261246
23,38.45209687980997,0.7385574844189602
24,38.48109612779948,0.7560472911889491
25,37.805916265431414,0.7781746443002648
26,36.25130981558257,0.7786205991957956
27,35.25581546558631,0.7784347501811871
28,34.082378049221354,0.7821101662755039
29,33.109157491545055,0.7771131571720991
30,29.79002992950327,0.7877572969552604
31,30.157090263764672,0.8004796609627242
32,31.401471950625478,0.8197113986704314
33,28.860664946429836,0.8100602184497273
34,28.4844609232453,0.8108294081776105
35,26.640725018085398,0.8205553810055971
36,25.625083564131863,0.8179988207519756
37,27.63436127067971,0.835478240724712
38,24.45736860334582,0.8332919396651219
39,22.018401887471875,0.82915777293072
40,21.824075012773157,0.8346454511415116
41,19.37063393993275,0.8400830988710583
42,20.83674228242198,0.8478580922149023
43,18.102817855234136,0.8480930751521646
44,18.72297341611847,0.8534370890612314
45,18.196225100885307,0.8575103782470158
46,14.908538411382619,0.8593913427700146
47,16.914800385888896,0.8507250100040498
48,14.401786634382436,0.8516780771372184
49,14.580312963542983,0.8634381680453294
50,13.428201346891928,0.85651022853736
51,12.820913857935182,0.8656573499316828
52,12.064810818949471,0.8562337010098131
53,10.127709114185247,0.8737628469449044
54,10.363341556342434,0.868487091301818
55,8.857394400151126,0.8717107380954907
56,8.1452585759634,0.8667001066643379
57,7.538839561652383,0.8818645150690372
58,6.823014452184323,0.8715821563641135
59,5.049759409674108,0.8760489023058644
60,4.139945576851568,0.8874917084733831
61,3.4758900558178665,0.882537719018371
62,1.9618641494642577,0.8782091244308144
63,1.001414646456551,0.8800529562688266
64,5.215368271255046e-25,0.882875817161698
