n,recon_error,pairwise_dc
1,0.25486648069751394,0.610990915384464
2,0.2196494763389972,0.7078746349030373
3,0.18643489110197992,0.7731951817351209
4,0.18271492521545002,0.7980257860481782
5,0.13631202033680262,0.8440442568787356
6,0.10346073934356978,0.8834431309624036
7,0.07393731363910946,0.8977732519253661
8,0.06840541237386381,0.8971833386886848
9,0.03926058575731779,0.9306748353747298
10,0.01478538701334246,0.9399063883440449
